Nanum+Gothic,Nanum+Gothic
Crimson+Text,Crimson+Text
"The top of the page","The top of the page"
"Fixed bar at the top of the page","Fixed bar at the top of the page"
"The top of the content","The top of the content"
"Fixed bar at the bottom of the page","Fixed bar at the bottom of the page"
"Insert Snippet","Insert Snippet"
Enabled,Enabled
Disabled,Disabled
"Template Default","Template Default"
"Template 1","Template 1"
"Template 2","Template 2"
"Template 3","Template 3"
"Template 4","Template 4"
"Template 5","Template 5"
"Template 6","Template 6"
Edit,Edit
Delete,Delete
"Delete %1","Delete %1"
"Are you sure you want to delete a %1 record?","Are you sure you want to delete a %1 record?"
Pause,Pause
"Pause %1","Pause %1"
"Are you sure you want to pause a %1 record?","Are you sure you want to pause a %1 record?"
Duplicate,Duplicate
"Duplicate %1","Duplicate %1"
"Are you sure you want to duplicate a %1 record?","Are you sure you want to duplicate a %1 record?"
"General Configuration","General Configuration"
Enable,Enable
"Select <strong>Yes</strong> to enable this module","Select <strong>Yes</strong> to enable this module"
"Add New Free Shipping Bar","Add New Free Shipping Bar"
"Delete Shippingbar","Delete Shippingbar"
"Are you sure you want to delete selected shippingbars?","Are you sure you want to delete selected shippingbars?"
ID,ID
"Created At","Created At"
"Updated At","Updated At"
