Discount (%1),Discounts (%1),module,Magento_Sales
Discount (%1),Discounts (%1),module,Magento_SalesRule
Choose a selection...,Choose size...,,
Your Customization,Your selection,,
Customize and Add to Cart,Select Size and Add To Cart,,
Customize %1,1%,,
Tax,VAT,,
