"If zero or empty, default ""120"" characters will be used.","If zero or empty, default ""120"" characters will be used."
"Gift Note Fee","Gift Note Fee"
"The fee for greeting cards attached with the gifts.","The fee for greeting cards attached with the gifts."
"Show Gift Note Under Items On","Show Gift Note Under Items On"
"Install <a href=""https://www.mageplaza.com/magento-2-one-step-checkout-extension/?utm_source=mageplaza&utm_medium=mageplaza&utm_campaign=mageplaza-review&utm_content=One%20Step%20Checkout"" target=""_blank"">Mageplaza One Step Checkout</a> to display gift messages on One Step Checkout Page.","Install <a href=""https://www.mageplaza.com/magento-2-one-step-checkout-extension/?utm_source=mageplaza&utm_medium=mageplaza&utm_campaign=mageplaza-review&utm_content=One%20Step%20Checkout"" target=""_blank"">Mageplaza One Step Checkout</a> to display gift messages on One Step Checkout Page."
"Show Report Gift Wrappers","Show Report Gift Wrappers"
"All Store Views","All Store Views"
"Store View","Store View"
Delete,Delete
"Are you sure to delete selected items?","Are you sure to delete selected items?"
"Change Status","Change Status"
ID,ID
"Customer Groups","Customer Groups"
"Store Views","Store Views"
"Created At","Created At"
"Updated At","Updated At"
Edit,Edit
Customer,Customer
"Order ID","Order ID"
"Order Status","Order Status"
"Product List","Product List"
"Order Date","Order Date"
"Add New","Add New"
"Create New Gift Wrap","Create New Gift Wrap"
"Price Type","Price Type"
Type,Type
